card_no,term,definition,sg_chapter,sg_chapter_title,domain,domain_title,confidence,placed_in,reason
997,What type of IDS detects attacks based on known methods?,Knowledge‐based (also called signature‐based or pattern‐matching),17,Preventing and Responding to Incidents,D7,Security Operations,HIGH,Ch 17,Knowledge-based signature IDS
998,"What type of lock consists of three elements: an electromagnet, a credential reader, and a door‐closed sensor?",Electronic access control (EAC),10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,"Electronic access control lock, physical"
999,What type of malicious code launches itself when certain conditions (such as a specific date) are met?,Logic bomb,21,Malicious Code and Application Attacks,D8,Software Development Security,HIGH,Ch 21,Logic bomb malicious code
1000,What type of malicious code spreads through the sharing of infected media?,Viruses,21,Malicious Code and Application Attacks,D8,Software Development Security,HIGH,Ch 21,Virus spreads via infected media
1001,What type of recovery site is particularly suited to workgroup recovery options?,Mobile site,18,Disaster Recovery Planning,D7,Security Operations,HIGH,Ch 18,Mobile recovery site
1002,What type of relationships can be established with relational databases? With hierarchical databases? With distributed databases?,"One‐to‐one, one‐to‐many, and many‐to‐many",20,Software Development Security,D8,Software Development Security,HIGH,Ch 20,Database relationship types
1003,What type of software testing is most appropriate when the tester does not have access to the underlying source code?,Dynamic testing,15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,Dynamic testing without source code
1004,What type of system is a common target of attackers who want to disseminate email spam?,Open relay SMTP servers,12,Secure Communications and Network Attacks,D4,Communication and Network Security,MEDIUM,Ch 12,Open relay SMTP email spam
1005,What type of VDI maintains a user's desktop changes?,A persistent virtual desktop infrastructure (VDI) maintains user desktop changes.,9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,"Persistent VDI, virtualized systems"
1006,What type of virus embeds itself in application documents?,Macro virus,21,Malicious Code and Application Attacks,D8,Software Development Security,HIGH,Ch 21,Macro virus
1007,What type of virus modifies itself each time it infects a new system in an attempt to avoid detection?,Polymorphic virus,21,Malicious Code and Application Attacks,D8,Software Development Security,HIGH,Ch 21,Polymorphic virus
1008,What type of website monitoring technique executes artificial transactions against the site?,Synthetic monitoring (or active monitoring),15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,Synthetic monitoring website testing
1009,What type of website monitoring technique is only able to detect issues after they occur?,Passive monitoring,15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,Passive monitoring testing technique
1010,What types of accounts are focused on during a user entitlement review?,Privileged accounts such as administrator or root user accounts,15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,User entitlement review of privileged accounts
1011,What types of activities are labeled as auditing?,"Recording of event/occurrence data, examination of data, data reduction, use of event/occurrence alarm triggers, log analysis, logging, monitoring, using alerts, intrusion detection",17,Preventing and Responding to Incidents,D7,Security Operations,MEDIUM,Ch 17,Auditing/logging/monitoring activities
1012,What types of activities can be used as penetration tests?,"Information/intelligence gathering, war driving, sniffing, eavesdropping, radiation monitoring, dumpster diving, social engineering, port scanning, ping scanning, vulnerability scanning, war dialing, and actual compromise activities",15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,Penetration test activities
1013,What types of organizations need to comply with PCI DSS?,"Those that store, process, or transmit credit card account information",4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,PCI DSS compliance
1014,What use is QoS?,"Quality of service (QoS) controls protect the integrity of data networks under load. Many different factors contribute to the quality of the end user experience, and QoS attempts to manage all of those factors to create an experience that meets business requirements.",12,Secure Communications and Network Attacks,D4,Communication and Network Security,MEDIUM,Ch 12,QoS protects network data integrity
1015,What was the original IEEE standard for Bluetooth? And what is the current standard?,"IEEE 802.15.1 originally, now Bluetooth SIG.",11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,"Bluetooth IEEE standard, wireless"
1016,What would be completed to check an entire organization for weaknesses?,Vulnerability assessment,15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,Vulnerability assessment of organization
1017,What's the most desirable default setting for access control?,"Denial. When access is not specifically granted, it should be denied by default. This is also known as implicit deny.",14,Controlling and Monitoring Access,D5,Identity and Access Management,HIGH,Ch 14,Implicit deny default access control
1018,"When a disaster strikes but your ability to perform work tasks is only threatened, not actually interrupted, what response should be used?",BCP,3,Business Continuity Planning,D1,Security and Risk Management,HIGH,Ch 3,BCP when work only threatened
